,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2023-09-10,IND,,JAX,"L, 21-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,,,2.0,2.0,2023-09-17,IND,@,HOU,"W, 31-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,,3.0,3.0,2023-09-24,IND,@,BAL,"W, 22-19 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,,4.0,4.0,2023-10-01,IND,,LAR,"L, 23-29 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,1.0,44.0,5.0,5.0,2023-10-08,IND,,TEN,"W, 23-16",,6,18,0,3.0,1,1,16,16.0,0,100.0,16.0,0,0,0,0,0,0,10,15.2,0,0.0,0,0.0
5,2.0,45.0,6.0,6.0,2023-10-15,IND,@,JAX,"L, 20-37",,8,19,0,2.4,6,5,46,9.2,0,83.3,7.7,0,0,0,0,0,0,33,42.3,0,0.0,0,0.0
6,3.0,46.0,7.0,7.0,2023-10-22,IND,,CLE,"L, 38-39",*,18,75,1,4.2,4,3,45,15.0,0,75.0,11.3,0,0,0,0,0,0,35,50.0,0,0.0,0,0.0
7,4.0,47.0,8.0,8.0,2023-10-29,IND,,NOR,"L, 27-38",*,12,95,0,7.9,2,1,2,2.0,0,50.0,1.0,0,0,0,0,0,0,43,60.6,0,0.0,0,0.0
8,5.0,48.0,9.0,9.0,2023-11-05,IND,@,CAR,"W, 27-13",*,18,47,0,2.6,5,5,22,4.4,1,100.0,4.4,0,0,0,0,0,0,45,73.8,0,0.0,0,0.0
9,6.0,49.0,10.0,10.0,2023-11-12,IND,@,NWE,"W, 10-6",*,23,69,1,3.0,1,1,6,6.0,0,100.0,6.0,0,0,0,0,0,0,50,87.7,0,0.0,0,0.0
10,7.0,50.0,11.0,12.0,2023-11-26,IND,,TAM,"W, 27-20",*,15,91,2,6.1,0,0,0,,0,,,0,0,0,0,0,0,42,57.5,0,0.0,0,0.0
11,7.0,,12.0,13.0,2023-12-03,IND,@,TEN,"W, 31-28 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,7.0,,13.0,14.0,2023-12-10,IND,@,CIN,"L, 14-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,7.0,,14.0,15.0,2023-12-16,IND,,PIT,"W, 30-13",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,8.0,51.0,15.0,16.0,2023-12-24,IND,@,ATL,"L, 10-29",,18,43,1,2.4,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,42,59.2,0,0.0,0,0.0
15,9.0,52.0,16.0,17.0,2023-12-31,IND,,LVR,"W, 23-20",*,21,96,1,4.6,1,1,8,8.0,0,100.0,8.0,1,0,0,0,0,0,35,62.5,0,0.0,0,0.0
16,10.0,53.0,17.0,18.0,2024-01-06,IND,,HOU,"L, 19-23",*,30,188,1,6.3,2,2,8,4.0,0,100.0,4.0,0,0,0,0,0,0,51,77.3,0,0.0,0,0.0
17,,,,,,,,,5-5,,169,741,7,4.4,23,19,153,8.1,1,82.6,6.7,1,0,0,0,0,0,386,57.7,0,0.0,0,0.0
