,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,76.0,1.0,1.0,2023-09-10,SFO,@,PIT,"W, 30-7",*,22,152,1,6.9,5,3,17,5.7,0,60.0,3.4,1,0,0,1,0,0,58,85.3,0,0.0,0,0.0
1,2.0,77.0,2.0,2.0,2023-09-17,SFO,@,LAR,"W, 30-23",*,20,116,1,5.8,3,3,19,6.3,0,100.0,6.3,0,0,0,0,0,0,57,100.0,0,0.0,0,0.0
2,3.0,78.0,3.0,3.0,2023-09-21,SFO,,NYG,"W, 30-12",*,18,85,1,4.7,5,5,34,6.8,0,100.0,6.8,0,0,0,0,0,0,51,61.4,0,0.0,0,0.0
3,4.0,79.0,4.0,4.0,2023-10-01,SFO,,ARI,"W, 35-16",*,20,106,3,5.3,8,7,71,10.1,1,87.5,8.9,0,0,0,0,0,0,47,85.5,0,0.0,0,0.0
4,5.0,80.0,5.0,5.0,2023-10-08,SFO,,DAL,"W, 42-10",*,19,51,1,2.7,3,2,27,13.5,0,66.7,9.0,1,1,0,0,0,0,52,73.2,0,0.0,0,0.0
5,6.0,81.0,6.0,6.0,2023-10-15,SFO,@,CLE,"L, 17-19",*,11,43,0,3.9,3,3,9,3.0,1,100.0,3.0,0,0,0,0,0,0,36,58.1,0,0.0,0,0.0
6,7.0,82.0,7.0,7.0,2023-10-23,SFO,@,MIN,"L, 17-22",*,15,45,1,3.0,3,3,51,17.0,1,100.0,17.0,1,1,0,0,0,0,53,100.0,0,0.0,0,0.0
7,8.0,83.0,8.0,8.0,2023-10-29,SFO,,CIN,"L, 17-31",*,12,54,1,4.5,7,6,64,10.7,1,85.7,9.1,0,0,0,0,0,0,57,96.6,0,0.0,0,0.0
8,9.0,84.0,9.0,10.0,2023-11-12,SFO,@,JAX,"W, 34-3",*,16,95,0,5.9,10,6,47,7.8,0,60.0,4.7,0,0,0,0,0,0,47,75.8,0,0.0,0,0.0
9,10.0,85.0,10.0,11.0,2023-11-19,SFO,,TAM,"W, 27-14",*,21,78,0,3.7,5,5,25,5.0,1,100.0,5.0,0,0,0,0,0,0,52,86.7,0,0.0,0,0.0
10,11.0,86.0,11.0,12.0,2023-11-23,SFO,@,SEA,"W, 31-13",*,19,114,2,6.0,6,5,25,5.0,0,83.3,4.2,0,0,0,0,0,0,51,77.3,0,0.0,0,0.0
11,12.0,87.0,12.0,13.0,2023-12-03,SFO,@,PHI,"W, 42-19",*,17,93,1,5.5,4,3,40,13.3,0,75.0,10.0,0,0,0,0,0,0,52,88.1,0,0.0,1,3.8
12,13.0,88.0,13.0,14.0,2023-12-10,SFO,,SEA,"W, 28-16",*,16,145,0,9.1,1,1,8,8.0,0,100.0,8.0,0,0,0,0,0,0,48,88.9,0,0.0,0,0.0
13,14.0,89.0,14.0,15.0,2023-12-17,SFO,@,ARI,"W, 45-29",*,18,115,1,6.4,5,5,72,14.4,2,100.0,14.4,0,0,0,0,0,0,43,76.8,0,0.0,0,0.0
14,15.0,90.0,15.0,16.0,2023-12-25,SFO,,BAL,"L, 19-33",*,14,103,1,7.4,10,6,28,4.7,0,60.0,2.8,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
15,16.0,91.0,16.0,17.0,2023-12-31,SFO,@,WAS,"W, 27-10",*,14,64,0,4.6,5,4,27,6.8,0,80.0,5.4,0,0,0,0,0,0,38,54.3,0,0.0,0,0.0
16,16.0,,17.0,18.0,2024-01-07,SFO,,LAR,"L, 20-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,12-4,,272,1459,14,5.4,83,67,564,8.4,7,80.7,6.8,3,2,0,1,0,0,812,80.8,0,0.0,1,0.2
